"Time","1m load average"
2026-01-06 12:35:00,1.82
2026-01-06 12:36:00,1.50
2026-01-06 12:37:00,1.82
2026-01-06 12:38:00,1.54
2026-01-06 12:39:00,1.82
2026-01-06 12:40:00,1.60
2026-01-06 12:41:00,1.63
2026-01-06 12:42:00,0.840
2026-01-06 12:43:00,0.520
2026-01-06 12:44:00,0.220
2026-01-06 12:45:00,0.350
2026-01-06 12:46:00,0.820
2026-01-06 12:47:00,44.1
2026-01-06 12:48:00,48.2
2026-01-06 12:49:00,30.1
2026-01-06 12:50:00,20.7
2026-01-06 12:51:00,33.7
2026-01-06 12:52:00,38.0
2026-01-06 12:53:00,45.4
2026-01-06 12:54:00,29.9
2026-01-06 12:55:00,35.3
2026-01-06 12:56:00,36.4
2026-01-06 12:57:00,23.0
2026-01-06 12:58:00,39.0
2026-01-06 12:59:00,44.7
2026-01-06 13:00:00,48.9
2026-01-06 13:01:00,61.7
2026-01-06 13:02:00,23.6
2026-01-06 13:03:00,9.47
2026-01-06 13:04:00,4.42
2026-01-06 13:05:00,2.39
2026-01-06 13:06:00,2
2026-01-06 13:07:00,1.68
2026-01-06 13:08:00,2
2026-01-06 13:09:00,1.97
2026-01-06 13:10:00,4.08
2026-01-06 13:11:00,2.97
2026-01-06 13:12:00,1.97
2026-01-06 13:13:00,2.14
2026-01-06 13:14:00,1.63
2026-01-06 13:15:00,1.79
2026-01-06 13:16:00,1.72
2026-01-06 13:17:00,1.69
2026-01-06 13:18:00,1.79
2026-01-06 13:19:00,2.09
2026-01-06 13:20:00,1.84
2026-01-06 13:21:00,2.02
2026-01-06 13:22:00,1.49
2026-01-06 13:23:00,1.39
2026-01-06 13:24:00,1.18
2026-01-06 13:25:00,1.23
2026-01-06 13:26:00,8.32
2026-01-06 13:27:00,3.65
2026-01-06 13:28:00,1.45
2026-01-06 13:29:00,0.770
2026-01-06 13:30:00,0.360
2026-01-06 13:31:00,0.860
2026-01-06 13:32:00,0.840
2026-01-06 13:33:00,0.420
2026-01-06 13:34:00,0.330
2026-01-06 13:35:00,0.340
2026-01-06 13:36:00,0.570
2026-01-06 13:37:00,7.08
2026-01-06 13:38:00,24.2
2026-01-06 13:39:00,33.6
2026-01-06 13:40:00,28.4
2026-01-06 13:41:00,23.2
2026-01-06 13:42:00,18.5
2026-01-06 13:43:00,10.6
2026-01-06 13:44:00,9.33
2026-01-06 13:45:00,7.74
2026-01-06 13:46:00,23.7
2026-01-06 13:47:00,13.4
2026-01-06 13:48:00,12.2
2026-01-06 13:49:00,15.1
2026-01-06 13:50:00,8.62
2026-01-06 13:51:00,7.39
2026-01-06 13:52:00,9.28
2026-01-06 13:53:00,4.70
2026-01-06 13:54:00,2.70
2026-01-06 13:55:00,1.93
2026-01-06 13:56:00,1.11
2026-01-06 13:57:00,0.750
2026-01-06 13:58:00,0.730
2026-01-06 13:59:00,0.740
2026-01-06 14:00:00,0.650
2026-01-06 14:01:00,21.3
2026-01-06 14:02:00,23.4
2026-01-06 14:03:00,32.1
2026-01-06 14:04:00,17.9
2026-01-06 14:05:00,15.1
2026-01-06 14:06:00,24.7
2026-01-06 14:07:00,39.6
2026-01-06 14:08:00,36.0
2026-01-06 14:09:00,47.7
2026-01-06 14:10:00,37.7
2026-01-06 14:11:00,36.2
2026-01-06 14:12:00,48.3
2026-01-06 14:13:00,40.5
2026-01-06 14:14:00,39.9
2026-01-06 14:15:00,26.4
2026-01-06 14:16:00,15.5
2026-01-06 14:17:00,6.83
2026-01-06 14:18:00,3.79
2026-01-06 14:19:00,2.27
2026-01-06 14:20:00,1.33
2026-01-06 14:21:00,0.710
2026-01-06 14:22:00,0.590
2026-01-06 14:23:00,0.550
2026-01-06 14:24:00,0.490
2026-01-06 14:25:00,19.5
2026-01-06 14:26:00,31.7
2026-01-06 14:27:00,42.1
2026-01-06 14:28:00,32.4
2026-01-06 14:29:00,26.7
2026-01-06 14:30:00,40.9
2026-01-06 14:31:00,38.9
2026-01-06 14:32:00,37.5
2026-01-06 14:33:00,46.4
2026-01-06 14:34:00,44.2
2026-01-06 14:35:00,38.9
2026-01-06 14:36:00,26.3
2026-01-06 14:37:00,38.7
2026-01-06 14:38:00,56.1
2026-01-06 14:39:00,33.9
2026-01-06 14:40:00,24.7
2026-01-06 14:41:00,10.7
2026-01-06 14:42:00,5.28
2026-01-06 14:43:00,3.29
2026-01-06 14:44:00,2.75
2026-01-06 14:45:00,3.19
2026-01-06 14:46:00,1.73
2026-01-06 14:47:00,1.05
2026-01-06 14:48:00,0.980
2026-01-06 14:49:00,0.720
2026-01-06 14:50:00,1.07
2026-01-06 14:51:00,19.3
2026-01-06 14:52:00,42.3
2026-01-06 14:53:00,53.1
2026-01-06 14:54:00,35.1
2026-01-06 14:55:00,47.4
2026-01-06 14:56:00,31.0
2026-01-06 14:57:00,36.7
2026-01-06 14:58:00,40.9
2026-01-06 14:59:00,63.8
2026-01-06 15:00:00,52.1
2026-01-06 15:01:00,44.8
2026-01-06 15:02:00,35.2
2026-01-06 15:03:00,32.5
2026-01-06 15:04:00,37.2
2026-01-06 15:05:00,39.7
2026-01-06 15:06:00,18.4
2026-01-06 15:07:00,8.09
2026-01-06 15:08:00,4.56
2026-01-06 15:09:00,2.98
2026-01-06 15:10:00,2.18
2026-01-06 15:11:00,1.67
2026-01-06 15:12:00,1.45
2026-01-06 15:13:00,1.22
2026-01-06 15:14:00,1.33
2026-01-06 15:15:00,1.55
2026-01-06 15:16:00,3.72
2026-01-06 15:17:00,3.95
2026-01-06 15:18:00,7.27
2026-01-06 15:19:00,2.98
2026-01-06 15:20:00,1.56
2026-01-06 15:21:00,1.64
2026-01-06 15:22:00,0.830
2026-01-06 15:23:00,1.48
2026-01-06 15:24:00,7.10
2026-01-06 15:25:00,15.1
2026-01-06 15:26:00,34.2
2026-01-06 15:27:00,21.9
2026-01-06 15:28:00,26.7
2026-01-06 15:29:00,21.9
2026-01-06 15:30:00,22.5
2026-01-06 15:31:00,34.2
2026-01-06 15:32:00,35.4
2026-01-06 15:33:00,18.9
2026-01-06 15:34:00,16.2
2026-01-06 15:35:00,22.1
2026-01-06 15:36:00,29.0
2026-01-06 15:37:00,24.2
2026-01-06 15:38:00,24.8
2026-01-06 15:39:00,10.6
2026-01-06 15:40:00,5.29
2026-01-06 15:41:00,3.15
2026-01-06 15:42:00,2.39
2026-01-06 15:43:00,2.05
2026-01-06 15:44:00,1.96
2026-01-06 15:45:00,2.16
2026-01-06 15:46:00,2.25
2026-01-06 15:47:00,1.96
2026-01-06 15:48:00,2.71
2026-01-06 15:49:00,1.96
2026-01-06 15:50:00,3.29
2026-01-06 15:51:00,2.64
2026-01-06 15:52:00,4.26
2026-01-06 15:53:00,2.77
2026-01-06 15:54:00,3.91
2026-01-06 15:55:00,3.08
2026-01-06 15:56:00,6.84
2026-01-06 15:57:00,3.97
2026-01-06 15:58:00,2.58
2026-01-06 15:59:00,1.98
2026-01-06 16:00:00,3.01
2026-01-06 16:01:00,3.45
2026-01-06 16:02:00,4.21
2026-01-06 16:03:00,3.09
2026-01-06 16:04:00,3.23
2026-01-06 16:05:00,11.2
2026-01-06 16:06:00,6.63
2026-01-06 16:07:00,3.81
2026-01-06 16:08:00,2.83
2026-01-06 16:09:00,2.29
2026-01-06 16:10:00,1.96
2026-01-06 16:11:00,2.27
2026-01-06 16:12:00,69.9
2026-01-06 16:13:00,52.7
2026-01-06 16:14:00,64.5
2026-01-06 16:15:00,44.2
2026-01-06 16:16:00,75.4
2026-01-06 16:17:00,46.3
2026-01-06 16:18:00,55.7
2026-01-06 16:19:00,38.6
2026-01-06 16:20:00,38.4
2026-01-06 16:21:00,58.5
2026-01-06 16:22:00,41.1
2026-01-06 16:23:00,47.0
2026-01-06 16:24:00,45.9
2026-01-06 16:25:00,42.2
2026-01-06 16:26:00,44.3
2026-01-06 16:27:00,38.6
2026-01-06 16:28:00,16.5
2026-01-06 16:29:00,7.68
2026-01-06 16:30:00,4.61
2026-01-06 16:31:00,5.10
2026-01-06 16:32:00,3.35
2026-01-06 16:33:00,2.63
2026-01-06 16:34:00,2.65
2026-01-06 16:35:00,2.05
2026-01-06 16:36:00,2.27
2026-01-06 16:37:00,2.18
2026-01-06 16:38:00,2.44
2026-01-06 16:39:00,1.77
2026-01-06 16:40:00,1.53
2026-01-06 16:41:00,2.20
2026-01-06 16:42:00,2.75
2026-01-06 16:43:00,2.16
2026-01-06 16:44:00,2.72
2026-01-06 16:45:00,1.91
2026-01-06 16:46:00,2.60
2026-01-06 16:47:00,3.63
2026-01-06 16:48:00,2.75
2026-01-06 16:49:00,4.21
2026-01-06 16:50:00,3.46
2026-01-06 16:51:00,3.51
2026-01-06 16:52:00,6.65
2026-01-06 16:53:00,4.32
2026-01-06 16:54:00,3.88
2026-01-06 16:55:00,3.85
2026-01-06 16:56:00,2.08
2026-01-06 16:57:00,1.93
2026-01-06 16:58:00,2.22
2026-01-06 16:59:00,1.70
2026-01-06 17:00:00,3.57
2026-01-06 17:01:00,43.2
2026-01-06 17:02:00,32.9
2026-01-06 17:03:00,42.7
2026-01-06 17:04:00,32.1
2026-01-06 17:05:00,53.3
2026-01-06 17:06:00,41.8
2026-01-06 17:07:00,64.6
2026-01-06 17:08:00,75.9
2026-01-06 17:09:00,44.4
2026-01-06 17:10:00,39.2
2026-01-06 17:11:00,29.4
2026-01-06 17:12:00,53.3
2026-01-06 17:13:00,68.3
2026-01-06 17:14:00,46.7
2026-01-06 17:15:00,54.3
2026-01-06 17:16:00,23.4
2026-01-06 17:17:00,11.0
2026-01-06 17:18:00,6.57
2026-01-06 17:19:00,5.82
2026-01-06 17:20:00,9.03
2026-01-06 17:21:00,5.36
2026-01-06 17:22:00,3.82
2026-01-06 17:23:00,4.12
2026-01-06 17:24:00,4.51
2026-01-06 17:25:00,3.24
2026-01-06 17:26:00,2.76
2026-01-06 17:27:00,9.66
2026-01-06 17:28:00,5.41
2026-01-06 17:29:00,4.38
2026-01-06 17:30:00,3.17
2026-01-06 17:31:00,2.91
2026-01-06 17:32:00,2.99
2026-01-06 17:33:00,2.06
2026-01-06 17:34:00,2.51
2026-01-06 17:35:00,2.55
2026-01-06 17:36:00,2.45
2026-01-06 17:37:00,2.31
2026-01-06 17:38:00,2.01
2026-01-06 17:39:00,1.82
2026-01-06 17:40:00,1.73
2026-01-06 17:41:00,1.36
2026-01-06 17:42:00,1.65
2026-01-06 17:43:00,1.36
2026-01-06 17:44:00,1.61
2026-01-06 17:45:00,6.16
2026-01-06 17:46:00,4.15
2026-01-06 17:47:00,3.26
2026-01-06 17:48:00,3.50
2026-01-06 17:49:00,3.05
2026-01-06 17:50:00,3.64
2026-01-06 17:51:00,4.21
2026-01-06 17:52:00,4.31
2026-01-06 17:53:00,3.93
2026-01-06 17:54:00,5.05
2026-01-06 17:55:00,3.60
2026-01-06 17:56:00,4.69
2026-01-06 17:57:00,3.94
2026-01-06 17:58:00,6.60
2026-01-06 17:59:00,4.39
2026-01-06 18:00:00,11.3
2026-01-06 18:01:00,5.58
2026-01-06 18:02:00,3.60
2026-01-06 18:03:00,3.79
2026-01-06 18:04:00,18.2
2026-01-06 18:05:00,50.2
2026-01-06 18:06:00,58.3
2026-01-06 18:07:00,35.3
2026-01-06 18:08:00,37.8
2026-01-06 18:09:00,42.1
2026-01-06 18:10:00,35.4
2026-01-06 18:11:00,34.3
2026-01-06 18:12:00,83.9
2026-01-06 18:13:00,49.6
2026-01-06 18:14:00,38.2
2026-01-06 18:15:00,39.3
2026-01-06 18:16:00,26.8
2026-01-06 18:17:00,30.8
2026-01-06 18:18:00,35.7
2026-01-06 18:19:00,33.5
2026-01-06 18:20:00,15.4
2026-01-06 18:21:00,8.32
2026-01-06 18:22:00,5.36
2026-01-06 18:23:00,3.86
2026-01-06 18:24:00,3.97
2026-01-06 18:25:00,3.46
2026-01-06 18:26:00,4.47
2026-01-06 18:27:00,3.32
2026-01-06 18:28:00,4.22
2026-01-06 18:29:00,4.11
2026-01-06 18:30:00,4.08
2026-01-06 18:31:00,3.67
2026-01-06 18:32:00,3.84
2026-01-06 18:33:00,7.88
2026-01-06 18:34:00,5.10
2026-01-06 18:35:00,3.60
2026-01-06 18:36:00,2.77
2026-01-06 18:37:00,2.59
2026-01-06 18:38:00,3.63
2026-01-06 18:39:00,3.45
2026-01-06 18:40:00,2.87
2026-01-06 18:41:00,2.81
2026-01-06 18:42:00,2.41
2026-01-06 18:43:00,2.99
2026-01-06 18:44:00,2.72
2026-01-06 18:45:00,3.15
2026-01-06 18:46:00,2.02
2026-01-06 18:47:00,2.63
2026-01-06 18:48:00,2.40
2026-01-06 18:49:00,1.98
2026-01-06 18:50:00,2
2026-01-06 18:51:00,3.71
2026-01-06 18:52:00,2.88
2026-01-06 18:53:00,4.73
2026-01-06 18:54:00,3.63
2026-01-06 18:55:00,4.38
2026-01-06 18:56:00,2.13
2026-01-06 18:57:00,1.22
2026-01-06 18:58:00,0.850
2026-01-06 18:59:00,0.940
2026-01-06 19:00:00,0.640
2026-01-06 19:01:00,1.15
2026-01-06 19:02:00,1.49
2026-01-06 19:03:00,6.80
2026-01-06 19:04:00,5.69
2026-01-06 19:05:00,7.85
2026-01-06 19:06:00,11.5
2026-01-06 19:07:00,9.38
2026-01-06 19:08:00,9.54
2026-01-06 19:09:00,8.71
2026-01-06 19:10:00,9.59
2026-01-06 19:11:00,11.0
2026-01-06 19:12:00,11.8
2026-01-06 19:13:00,11.0
2026-01-06 19:14:00,12.2
2026-01-06 19:15:00,12.6
2026-01-06 19:16:00,16.4
2026-01-06 19:17:00,14.1
2026-01-06 19:18:00,13.4
2026-01-06 19:19:00,13.5
2026-01-06 19:20:00,14.6
2026-01-06 19:21:00,14.4
2026-01-06 19:22:00,13.7
2026-01-06 19:23:00,12.7
2026-01-06 19:24:00,18.8
2026-01-06 19:25:00,17.6
2026-01-06 19:26:00,19.9
2026-01-06 19:27:00,16.4
2026-01-06 19:28:00,9.68
2026-01-06 19:29:00,6.77
2026-01-06 19:30:00,11.3
2026-01-06 19:31:00,6.81
2026-01-06 19:32:00,5.02
2026-01-06 19:33:00,6.19
2026-01-06 19:34:00,6.63
2026-01-06 19:35:00,13.1
2026-01-06 19:36:00,13.2
2026-01-06 19:37:00,10.8
2026-01-06 19:38:00,18.7
2026-01-06 19:39:00,19.7
2026-01-06 19:40:00,15.4
2026-01-06 19:41:00,12.1
2026-01-06 19:42:00,10.6
2026-01-06 19:43:00,9.72
2026-01-06 19:44:00,11.0
2026-01-06 19:45:00,23.4
2026-01-06 19:46:00,32.4
2026-01-06 19:47:00,28.4
2026-01-06 19:48:00,28.0
2026-01-06 19:49:00,34.6
2026-01-06 19:50:00,36.2
2026-01-06 19:51:00,29.7
2026-01-06 19:52:00,31.6
2026-01-06 19:53:00,32.3
2026-01-06 19:54:00,24.5
2026-01-06 19:55:00,27.7
2026-01-06 19:56:00,31.9
2026-01-06 19:57:00,29.9
2026-01-06 19:58:00,29.8
2026-01-06 19:59:00,28.3
2026-01-06 20:00:00,22.5
2026-01-06 20:01:00,14.7
2026-01-06 20:02:00,10.1
2026-01-06 20:03:00,9.23
2026-01-06 20:04:00,8
2026-01-06 20:05:00,9.13
2026-01-06 20:06:00,7.03
2026-01-06 20:07:00,14.9
2026-01-06 20:08:00,8.89
2026-01-06 20:09:00,7.70
2026-01-06 20:10:00,5.21
2026-01-06 20:11:00,14.9
2026-01-06 20:12:00,20.6
2026-01-06 20:13:00,13.5
2026-01-06 20:14:00,10.8
2026-01-06 20:15:00,10.2
2026-01-06 20:16:00,19.2
2026-01-06 20:17:00,14.7
2026-01-06 20:18:00,16.0
2026-01-06 20:19:00,16.2
2026-01-06 20:20:00,12.8
2026-01-06 20:21:00,12.7
2026-01-06 20:22:00,12.8
2026-01-06 20:23:00,19.3
2026-01-06 20:24:00,14.3
2026-01-06 20:25:00,11.3
2026-01-06 20:26:00,19.1
2026-01-06 20:27:00,34.4
2026-01-06 20:28:00,41.7
2026-01-06 20:29:00,46.1
2026-01-06 20:30:00,43.0
2026-01-06 20:31:00,38.9
2026-01-06 20:32:00,45.4
2026-01-06 20:33:00,36.3
2026-01-06 20:34:00,42.1
2026-01-06 20:35:00,42.2
2026-01-06 20:36:00,43.4
2026-01-06 20:37:00,38.8
2026-01-06 20:38:00,32.5
2026-01-06 20:39:00,28.7
2026-01-06 20:40:00,32.8
2026-01-06 20:41:00,29.4
2026-01-06 20:42:00,18.7
2026-01-06 20:43:00,17.0
2026-01-06 20:44:00,18.9
2026-01-06 20:45:00,13.8
2026-01-06 20:46:00,15.1
2026-01-06 20:47:00,20.1
2026-01-06 20:48:00,13
2026-01-06 20:49:00,20.7
2026-01-06 20:50:00,14.0
2026-01-06 20:51:00,13.7
2026-01-06 20:52:00,16.3
2026-01-06 20:53:00,9.89
2026-01-06 20:54:00,17.3
2026-01-06 20:55:00,11.8
2026-01-06 20:56:00,7.50
2026-01-06 20:57:00,5.15
2026-01-06 20:58:00,7.21
2026-01-06 20:59:00,9.32
2026-01-06 21:00:00,19.2
2026-01-06 21:01:00,11.8
2026-01-06 21:02:00,13.5
2026-01-06 21:03:00,13.5
2026-01-06 21:04:00,9.34
2026-01-06 21:05:00,31.0
2026-01-06 21:06:00,29.2
2026-01-06 21:07:00,18.2
2026-01-06 21:08:00,13.1
2026-01-06 21:09:00,19.9
2026-01-06 21:10:00,20.5
2026-01-06 21:11:00,16.3
2026-01-06 21:12:00,13.6
2026-01-06 21:13:00,17.6
2026-01-06 21:14:00,21.3
2026-01-06 21:15:00,25.3
2026-01-06 21:16:00,17.0
2026-01-06 21:17:00,13.8
2026-01-06 21:18:00,23.0
2026-01-06 21:19:00,37.3
2026-01-06 21:20:00,51.9
2026-01-06 21:21:00,49.0
2026-01-06 21:22:00,52
2026-01-06 21:23:00,51.9
2026-01-06 21:24:00,45.4
2026-01-06 21:25:00,44.5
2026-01-06 21:26:00,42.9
2026-01-06 21:27:00,43.4
2026-01-06 21:28:00,47.0
2026-01-06 21:29:00,44.7
2026-01-06 21:30:00,47.5
2026-01-06 21:31:00,49.9
2026-01-06 21:32:00,44.3
2026-01-06 21:33:00,33.9
2026-01-06 21:34:00,27.5
2026-01-06 21:35:00,21.4
2026-01-06 21:36:00,14.7
2026-01-06 21:37:00,10.9
2026-01-06 21:38:00,17.6
2026-01-06 21:39:00,12.0
2026-01-06 21:40:00,20.5
2026-01-06 21:41:00,18.3
2026-01-06 21:42:00,13.3
2026-01-06 21:43:00,9.36
2026-01-06 21:44:00,9.17
2026-01-06 21:45:00,13.4
2026-01-06 21:46:00,11.7
2026-01-06 21:47:00,9.21
2026-01-06 21:48:00,8.08
2026-01-06 21:49:00,7.71
2026-01-06 21:50:00,7.67
2026-01-06 21:51:00,6.44
2026-01-06 21:52:00,7.55
2026-01-06 21:53:00,9.38
2026-01-06 21:54:00,6.33
2026-01-06 21:55:00,4.15
2026-01-06 21:56:00,1.78
2026-01-06 21:57:00,0.770
2026-01-06 21:58:00,0.790
2026-01-06 21:59:00,2.56
2026-01-06 22:00:00,1.22
2026-01-06 22:01:00,0.800
2026-01-06 22:02:00,0.590
2026-01-06 22:03:00,0.300
2026-01-06 22:04:00,0.290
2026-01-06 22:05:00,0.170
